Anlageschl;Einsatz-ID;Projektnummer;DSO Schl¸ssel 2;Netzbetreiber (ILN-Nummer);Datum Regelung ab;Uhrzeit Regelung ab;Datum Regelung bis;Uhrzeit Regelung bis;Regelstufe Einspeisermanagemen;Entsch‰digungspflichtig;Ursache;Ort;Anforderer (ILN-Nummer)
E2079301EA01000000000066880600002;SHN201500004208;40086;;Schleswig-Holstein Netz;02.11.2014;11:19:24;02.11.2014;11:59:08;060;EEG;Netzengpass;Soholm.110/20.Trafo;Schleswig-Holstein Netz
E2079301EA01000000000059099600002;SHN201500004208;36537;;Schleswig-Holstein Netz;02.11.2014;11:19:24;02.11.2014;11:59:08;060;EEG;Netzengpass;Soholm.110/20.Trafo;Schleswig-Holstein Netz
E2079301EA01000000000066880600004;SHN201500004208;40086;;Schleswig-Holstein Netz;02.11.2014;11:19:24;02.11.2014;11:59:08;060;EEG;Netzengpass;Soholm.110/20.Trafo;Schleswig-Holstein Netz
E2079301EA01000000000070608000002;SHN201500004208;44732;;Schleswig-Holstein Netz;02.11.2014;11:19:24;02.11.2014;11:59:08;060;EEG;Netzengpass;Soholm.110/20.Trafo;Schleswig-Holstein Netz
E2079301EA01000000000066880600003;SHN201500004208;40086;;Schleswig-Holstein Netz;02.11.2014;11:19:24;02.11.2014;11:59:08;060;EEG;Netzengpass;Soholm.110/20.Trafo;Schleswig-Holstein Netz
E2079301EA01000000000066880600005;SHN201500004208;40086;;Schleswig-Holstein Netz;02.11.2014;11:19:24;02.11.2014;11:59:08;060;EEG;Netzengpass;Soholm.110/20.Trafo;Schleswig-Holstein Netz
E2079301EA01000000000044652700001;SHN201500004208;32380;;Schleswig-Holstein Netz;02.11.2014;11:19:24;02.11.2014;11:59:08;060;EEG;Netzengpass;Soholm.110/20.Trafo;Schleswig-Holstein Netz
E2079301EA01000000000044652700003;SHN201500004208;32380;;Schleswig-Holstein Netz;02.11.2014;11:19:24;02.11.2014;11:59:08;060;EEG;Netzengpass;Soholm.110/20.Trafo;Schleswig-Holstein Netz
E2079301EA01000000000066880600001;SHN201500004208;40086;;Schleswig-Holstein Netz;02.11.2014;11:19:24;02.11.2014;11:59:08;060;EEG;Netzengpass;Soholm.110/20.Trafo;Schleswig-Holstein Netz
E2079301EA01000000000044652700002;SHN201500004208;32380;;Schleswig-Holstein Netz;02.11.2014;11:19:24;02.11.2014;11:59:08;060;EEG;Netzengpass;Soholm.110/20.Trafo;Schleswig-Holstein Netz
E2079301EA01000000000059099600001;SHN201500004208;36537;;Schleswig-Holstein Netz;02.11.2014;11:19:24;02.11.2014;11:59:08;060;EEG;Netzengpass;Soholm.110/20.Trafo;Schleswig-Holstein Netz
E2079301EA01000000000070608000006;SHN201500004208;44732;;Schleswig-Holstein Netz;02.11.2014;11:19:24;02.11.2014;11:59:08;060;EEG;Netzengpass;Soholm.110/20.Trafo;Schleswig-Holstein Netz
E2079301EA01000000000070608000001;SHN201500004208;44732;;Schleswig-Holstein Netz;02.11.2014;11:19:24;02.11.2014;11:59:08;060;EEG;Netzengpass;Soholm.110/20.Trafo;Schleswig-Holstein Netz
E2079301EA01000000000059099600003;SHN201500004208;36537;;Schleswig-Holstein Netz;02.11.2014;11:19:24;02.11.2014;11:59:08;060;EEG;Netzengpass;Soholm.110/20.Trafo;Schleswig-Holstein Netz
E2079301EA01000000000059099600005;SHN201500004208;36537;;Schleswig-Holstein Netz;02.11.2014;11:19:24;02.11.2014;11:59:08;060;EEG;Netzengpass;Soholm.110/20.Trafo;Schleswig-Holstein Netz
E2079301EA01000000000059099600004;SHN201500004208;36537;;Schleswig-Holstein Netz;02.11.2014;11:19:24;02.11.2014;11:59:08;060;EEG;Netzengpass;Soholm.110/20.Trafo;Schleswig-Holstein Netz
